public static void main(String[] args) throws Exception { 		if (args.length < 2) { 			System.out.println("Usage: java_programs java_version"); 			System.exit(1); 		} 		java_programs = args[0]; 		java_version = args[1]; 	}
public static void main(String[] args) throws Exception { 		if (args.length < 1) { 			System.err.println("Usage: java_programs <program>"); 			System.exit(-1); 		} 		if (args.length < 2) { 			System.err.println("Usage: java_programs <program>"); 			System.exit(-1); 		} 		java_programs = args[0]; 		java_programs = args[1]; 	}
public static void main(String[] args) throws Exception { 		if (args.length < 1) { 			System.out.println("Usage: java_programs <program>"); 			System.exit(-1); 		} 		if (args.length < 2) { 			System.out.println("Usage: java_programs <program>"); 			System.exit(-1); 		} 		if (args.length < 3) { 			System.out.println("Usage: java_programs <program
public static void main(String[] args) throws Exception { 		if (args.length < 1) { 			System.err.println("Usage: java_programs <program>"); 			System.exit(-1); 		} 		if (args.length < 2) { 			System.err.println("Usage: java_programs <program>"); 			System.exit(-1); 		} 		if (args.length < 3) { 			System.err.println("Usage: java_programs <program
public static void main(String[] args) throws Exception { 		if (args.length < 1) { 			System.out.println("Usage: java_programs <program>"); 			System.exit(1); 		} 		if (args.length < 2) { 			System.out.println("Usage: java_programs <program>"); 			System.exit(1); 		} 		if (args.length < 3) { 			System.out.println("Usage: java_programs <program
public static void main(String[] args) throws Exception { 		if (args.length < 1) { 			System.err.println("Usage: java_programs <program>"); 			System.exit(-1); 		} 		if (args.length < 2) { 			System.err.println("Usage: java_programs <program>"); 			System.exit(-1); 		} 		if (args.length < 3) { 			System.err.println("Usage: java_programs java_
public static void main(String[] args) throws Exception { 		if (args.length < 1) { 			System.out.println("Usage: java_programs <program>"); 			System.exit(-1); 		} 		if (args.length < 2) { 			System.out.println("Usage: java_programs <program>"); 			System.exit(-1); 		} 		if (args.length < 3) { 			System.out.println("Usage: java_programs java_
public static void main(String[] args) throws Exception { 		if (args.length < 1) { 			System.out.println("Usage: java_programs <program>"); 			System.exit(1); 		} 		if (args.length < 2) { 			System.out.println("Usage: java_programs <program>"); 			System.exit(1); 		} 		if (args.length < 3) { 			System.out.println("Usage: java_programs java_
public static void main(String[] args) throws Exception { 		if (args.length < 1) { 			System.err.println("Usage: java_programs <program>"); 			System.exit(-1); 		} 		if (args.length < 2) { 			System.err.println("Usage: java_programs <program>"); 			System.exit(-1); 		} 		if (args.length < 3) { 			System.err.println("Usage: java_programs java.
public static void main(String[] args) throws Exception { 		if (args.length < 1) { 			System.out.println("Usage: java_programs <program>"); 			System.exit(-1); 		} 		if (args.length < 2) { 			System.out.println("Usage: java_programs <program>"); 			System.exit(-1); 		} 		if (args.length < 3) { 			System.out.println("Usage: java_programs java.
public static void main(String[] args) throws Exception { 		if (args.length < 1) { 			System.err.println("Usage: java_programs <program>"); 			System.exit(-1); 		} 		if (args.length < 2) { 			System.err.println("Usage: java_programs <program>"); 			System.exit(-1); 		} 		if (args.length < 3) { 			System.err.println("Usage: java_programs <file
public static void main(String[] args) throws Exception { 		if (args.length < 1) { 			System.out.println("Usage: java_programs <program>"); 			System.exit(1); 		} 		if (args.length < 2) { 			System.out.println("Usage: java_programs <program>"); 			System.exit(1); 		} 		if (args.length < 3) { 			System.out.println("Usage: java_programs <file
