@Override     public void writeObject(java.io.ObjectOutputStream out) throws IOException {         out.defaultWriteObject();         out.writeObject(this);     }
@Override     public void writeObject(java.io.ObjectOutputStream out) throws IOException {         out.defaultWriteObject();         out.writeInt(size);     }
@Override     public void writeObject(java.io.ObjectOutputStream out) throws IOException {         out.defaultWriteObject();         out.writeInt(size);         out.writeObject(data);     }
@Override     public void writeObject(java.io.ObjectOutputStream out) throws IOException {         out.defaultWriteObject();         out.writeInt(size);         out.writeObject(this);     }
@Override     public void writeObject(java.io.ObjectOutputStream out) throws IOException {         out.defaultWriteObject();         out.writeInt(size);         out.writeObject(value);     }
@Override     public void writeObject(java.io.ObjectOutputStream out) throws IOException {         out.defaultWriteObject();         out.writeObject(this);         out.writeObject(this);     }
@Override     public void writeObject(java.io.ObjectOutputStream out) throws IOException {         out.defaultWriteObject();         out.writeInt(size);         out.writeObject(array);     }
@Override     public void writeObject(java.io.ObjectOutputStream out) throws IOException {         out.defaultWriteObject();         out.writeInt(size);         out.writeObject(key);         out.writeObject(value);     }
@Override     public void writeObject(java.io.ObjectOutputStream out) throws IOException {         out.defaultWriteObject();         out.writeInt(size);         for (int i = 0; i < size; i++) {             out.writeObject(data[i]);         }     }
@Override     public void writeObject(java.io.ObjectOutputStream out) throws IOException {         out.defaultWriteObject();         out.writeInt(size);         for (int i = 0; i < size; i++) {             out.writeObject(elements[i]);         }     }
@Override     public void writeObject(java.io.ObjectOutputStream out) throws IOException {         out.defaultWriteObject();         out.writeInt(size);         for (int i = 0; i < elements.length; i++) {             out.writeObject(elements[i]);         }     }
@Override     public void writeObject(java.io.ObjectOutputStream out) throws IOException {         out.defaultWriteObject();         out.writeInt(size);         for (int i = 0; i < entries.length; i++) {             out.writeObject(entries[i]);         }     }
@Override     public void writeObject(java.io.ObjectOutputStream out) throws IOException {         out.defaultWriteObject();         out.writeInt(size);         for (int i = 0; i < size; i++) {             out.writeObject(array[i]);         }     }
@Override     public void writeObject(java.io.ObjectOutputStream out) throws IOException {         out.defaultWriteObject();         out.writeInt(size);         for (int i = 0; i < size; i++) {             out.writeObject(values[i]);         }     }
@Override     public void writeObject(java.io.ObjectOutputStream out) throws IOException {         out.defaultWriteObject();         out.writeInt(size);         for (int i = 0; i < items.length; i++) {             out.writeObject(items[i]);         }     }
@Override     public void writeObject(java.io.ObjectOutputStream out) throws IOException {         out.defaultWriteObject();         out.writeInt(size);         for (int i = 0; i < elements.length; i++) {             elements[i].writeObject(out);         }     }
@Override     public void writeObject(java.io.ObjectOutputStream out) throws IOException {         out.defaultWriteObject();         out.writeInt(size);         for (int i = 0; i < size; i++) {             out.writeObject(i);         }     }
@Override     public void writeObject(java.io.ObjectOutputStream out) throws IOException {         out.defaultWriteObject();         out.writeInt(size);         for (int i = 0; i < size; i++) {             out.writeObject(items[i]);         }     }
@Override     public void writeObject(java.io.ObjectOutputStream out) throws IOException {         out.defaultWriteObject();         out.writeInt(size);         for (int i = 0; i < size; i++) {             writeObject(out);         }     }
@Override     public void writeObject(java.io.ObjectOutputStream out) throws IOException {         out.defaultWriteObject();         out.writeInt(size);         for (int i = 0; i < size; i++) {             out.writeObject(buffer[i]);         }     }
@Override     public void writeObject(java.io.ObjectOutputStream out) throws IOException {         out.defaultWriteObject();         out.writeInt(size);         for (int i = 0; i < size; i++) {             out.writeObject(value[i]);         }     }
@Override     public void writeObject(java.io.ObjectOutputStream out) throws IOException {         out.defaultWriteObject();         out.writeInt(size);         for (int i = 0; i < size; i++) {             out.writeInt(i);         }     }
@Override     public void writeObject(java.io.ObjectOutputStream out) throws IOException {         out.defaultWriteObject();         out.writeInt(size);         for (int i = 0; i < size; i++) {             out.writeObject(elementData[i]);         }     }
@Override     public void writeObject(java.io.ObjectOutputStream out) throws IOException {         out.defaultWriteObject();         out.writeObject(this);         out.writeObject(this);         out.writeObject(this);         out.writeObject(this);     }
@Override     public void writeObject(java.io.ObjectOutputStream out) throws IOException {         out.defaultWriteObject();         out.writeInt(size);         for (int i = 0; i < size; i++) {             out.writeObject(valueAt(i));         }     }
