
public static void main(String[] args) throws Exception { 		if (args.length < 1) { 			System.out.println(USAGE); 			System.exit(1); 		} 		System.out.println(USAGE); 		System.exit(0); 	}
public static void main(String[] args) throws Exception { 		if (args.length < 1) { 			System.out.println(USAGE); 			System.exit(1); 		} 		System.out.println(args[0]); 	}
public static void main(String[] args) throws Exception { 		if (args.length < 1) { 			System.out.println(USAGE); 			System.exit(1); 		} 		System.out.println(USAGE); 	}
public static void main(String[] args) throws Exception { 		if (args.length < 1) { 			System.out.println(USAGE); 			System.exit(-1); 		} 		System.out.println(args[0]); 	}
public static void main(String[] args) throws Exception { 		if (args.length < 1) { 			System.out.println(USAGE); 			System.exit(-1); 		} 		System.out.println(USAGE); 		System.exit(0); 	}
public static void main(String[] args) throws Exception { 		if (args.length < 1) { 			System.out.println(USAGE); 			System.exit(0); 		} 		System.out.println(USAGE); 		System.exit(0); 	}
public static void main(String[] args) throws Exception { 		if (args.length < 1) { 			System.out.println(USAGE); 			System.exit(1); 		} 		if (args.length < 2) { 			System.out.println(USAGE); 			System.exit(1); 		} 		System.out.println(args[0]); 		System.out.println(args[1]); 	}
public static void main(String[] args) throws Exception { 		if (args.length < 1) { 			System.out.println(USAGE); 			System.exit(-1); 		} 		if (args.length < 2) { 			System.out.println(USAGE); 			System.exit(-1); 		} 		System.out.println(args[0]); 		System.out.println(args[1]); 	}
public static void main(String[] args) throws Exception { 		if (args.length < 1) { 			System.out.println(USAGE); 			System.exit(1); 		} 		if (args.length < 2) { 			System.out.println(USAGE); 			System.exit(1); 		} 		System.out.println(args[0] + " " + args[1]); 	}
public static void main(String[] args) throws Exception { 		if (args.length < 1) { 			System.out.println(USAGE); 			System.exit(1); 		} 		if (args.length < 2) { 			System.out.println(USAGE); 			System.exit(1); 		} 		System.out.println(USAGE); 		System.exit(0); 	}
public static void main(String[] args) throws Exception { 		if (args.length < 1) { 			System.out.println(USAGE); 			System.exit(1); 		} 		if (args.length < 2) { 			System.out.println(USAGE); 			System.exit(1); 		} 		System.out.println(args[0]); 		System.out.println(args[1]); 		System.exit(0); 	}
public static void main(String[] args) throws Exception { 		if (args.length < 1) { 			System.out.println(USAGE); 			System.exit(-1); 		} 		if (args.length < 2) { 			System.out.println(USAGE); 			System.exit(-1); 		} 		System.out.println(args[0]); 		System.out.println(args[1]); 		System.exit(0); 	}
public static void main(String[] args) throws Exception { 		if (args.length < 1) { 			System.out.println(USAGE); 			System.exit(1); 		} 		if (args.length < 2) { 			System.out.println(USAGE); 			System.exit(1); 		} 		if (args.length < 3) { 			System.out.println(USAGE); 			System.exit(1); 		} 		if (args.
public static void main(String[] args) throws Exception { 		if (args.length < 1) { 			System.out.println(USAGE); 			System.exit(1); 		} 		if (args.length < 2) { 			System.out.println(USAGE); 			System.exit(1); 		} 		if (args.length < 3) { 			System.out.println(USAGE); 			System.exit(1); 		} 		System.out.
public static void main(String[] args) throws Exception { 		if (args.length < 1) { 			System.out.println(USAGE); 			System.exit(-1); 		} 		if (args.length < 2) { 			System.out.println(USAGE); 			System.exit(-1); 		} 		if (args.length < 3) { 			System.out.println(USAGE); 			System.exit(-1); 		} 		if (args.
public static void main(String[] args) throws Exception { 		if (args.length < 1) { 			System.out.println(USAGE); 			System.exit(-1); 		} 		if (args.length < 2) { 			System.out.println(USAGE); 			System.exit(-1); 		} 		if (args.length < 3) { 			System.out.println(USAGE); 			System.exit(-1); 		} 		System.out.
public static void main(String[] args) throws Exception { 		if (args.length < 1) { 			System.out.println(USAGE); 			System.exit(1); 		} 		if (args.length < 2) { 			System.out.println(USAGE); 			System.exit(1); 		} 		if (args.length < 3) { 			System.out.println(USAGE); 			System.exit(1); 		} 		try {
public static void main(String[] args) throws Exception { 		if (args.length < 1) { 			System.out.println(USAGE); 			System.exit(1); 		} 		if (args.length < 2) { 			System.out.println(USAGE); 			System.exit(1); 		} 		if (args.length < 3) { 			System.out.println(USAGE); 			System.exit(1); 		} 		if (args[
public static void main(String[] args) throws Exception { 		if (args.length < 1) { 			System.out.println(USAGE); 			System.exit(0); 		} 		if (args.length < 2) { 			System.out.println(USAGE); 			System.exit(0); 		} 		if (args.length < 3) { 			System.out.println(USAGE); 			System.exit(0); 		} 		if (args.
public static void main(String[] args) throws Exception { 		if (args.length < 1) { 			System.out.println(USAGE); 			System.exit(-1); 		} 		if (args.length < 2) { 			System.out.println(USAGE); 			System.exit(-1); 		} 		if (args.length < 3) { 			System.out.println(USAGE); 			System.exit(-1); 		} 		try {
public static void main(String[] args) throws Exception { 		if (args.length < 1) { 			System.out.println(USAGE); 			System.exit(-1); 		} 		if (args.length < 2) { 			System.out.println(USAGE); 			System.exit(-1); 		} 		if (args.length < 3) { 			System.out.println(USAGE); 			System.exit(-1); 		} 		if (args[
public static void main(String[] args) throws Exception { 		if (args.length < 1) { 			System.out.println(USAGE); 			System.exit(0); 		} 		if (args.length < 2) { 			System.out.println(USAGE); 			System.exit(0); 		} 		if (args.length < 3) { 			System.out.println(USAGE); 			System.exit(0); 		} 		System.out.
public static void main(String[] args) throws Exception { 		if (args.length < 1) { 			System.out.println(USAGE); 			System.exit(1); 		} 		if (args.length < 2) { 			System.out.println(USAGE); 			System.exit(1); 		} 		if (args.length < 3) { 			System.out.println(USAGE); 			System.exit(1); 		} 		List<String>
public static void main(String[] args) throws Exception { 		if (args.length < 1) { 			System.out.println(USAGE); 			System.exit(1); 		} 		if (args.length < 2) { 			System.out.println(USAGE); 			System.exit(1); 		} 		if (args.length < 3) { 			System.out.println(USAGE); 			System.exit(1); 		} 		String name = args
